subject,effector,mean_mm
P01,uh,3.291667
P02,uh,2.979167
P03,uh,5.104167
P04,uh,5
P05,aw,18.366667
P05,uh,5.729167
P05,uw,19.93333
P06,uh,4.4375
P07,uh,3.291667
P08,aw,15.35
P09,aw,9.933333
P09,uh,4.5
P09,uw,17.2
P10,uh,5.166667
P11,aw,10.266667
P11,uh,3.690476
P11,uw,12.53333
P12,uh,6.041667
P13,aw,21.366667
P13,uh,4.041667
P13,uw,12.03333
P14,aw,8.516667
P15,uh,7.041667
P16,aw,10.833333
P16,uh,3.479167
P16,uw,12.76667
P17,aw,4.878788
P17,uh,3.5
P18,uh,9.020833
P19,aw,25
P19,uh,3.791667
P19,uw,15.46667
P20,aw,10.333333
P20,uh,6.770833
P21,aw,8.566667
P21,uh,4.145833
P21,uw,15.93333
P22,uh,5.958333
,,
,,
